name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
MarvinStuede/cmr_os,https://github.com/MarvinStuede/cmr_os,2021-02-22,2021-02-23,1,2021-02-22,1
kuodehai/sw_pr,https://github.com/kuodehai/sw_pr,2015-05-07,2019-09-08,1585,2019-08-27,12
Carlosalpha1/searcherbot,https://github.com/Carlosalpha1/searcherbot,2021-08-17,2021-09-16,30,2021-08-17,30
RubiMonti/arquitectura_software,https://github.com/RubiMonti/arquitectura_software,2021-02-15,2021-05-16,90,2021-02-15,90
dev-osrose/osIROSE-new,https://github.com/dev-osrose/osIROSE-new,2013-05-10,2021-07-28,3001,2020-01-07,568
carlos-cardoso/arduino-behavior-tree,https://github.com/carlos-cardoso/arduino-behavior-tree,2021-03-02,2021-03-03,1,2021-03-02,1
memristor/mep3,https://github.com/memristor/mep3,2021-10-25,2022-01-15,82,2021-10-25,82
citronshuang/wssample,https://github.com/citronshuang/wssample,2021-08-04,2021-09-03,30,2021-09-17,-14
xmba15/miscellaneous,https://github.com/xmba15/miscellaneous,2020-09-21,2022-01-10,476,2018-05-03,1348
GregoryLeMasurier/BehaviorTreeTest,https://github.com/GregoryLeMasurier/BehaviorTreeTest,2021-08-23,2021-08-24,1,2021-08-23,1
matthias-mayr/bt_minimal_example,https://github.com/matthias-mayr/bt_minimal_example,2020-10-30,2020-11-03,4,2020-10-30,4
RoboJackets/software-training,https://github.com/RoboJackets/software-training,2017-06-27,2021-12-08,1625,2017-06-27,1625
ttran354/bt_sample,https://github.com/ttran354/bt_sample,2021-06-15,2021-06-15,0,2021-06-15,0
camilo-0715/roboticsLLLC,https://github.com/camilo-0715/roboticsLLLC,2021-02-12,2021-05-18,95,2021-02-12,95
harshilbhatt2001/ros2_swarm_ws,https://github.com/harshilbhatt2001/ros2_swarm_ws,2021-07-19,2021-10-24,97,2021-11-10,-17
tapi1300/arquitectura_software,https://github.com/tapi1300/arquitectura_software,2020-01-24,2020-04-30,97,2020-01-24,97
dstampfer/MOOD2Be,https://github.com/dstampfer/MOOD2Be,2018-11-26,2018-11-29,3,2018-11-26,3
IntelligentRoboticsLabs/ros2_planning_system_examples,https://github.com/IntelligentRoboticsLabs/ros2_planning_system_examples,2020-01-25,2021-12-08,683,2020-01-25,683
TomasHricina/BehaviorTrees,https://github.com/TomasHricina/BehaviorTrees,2021-01-15,2021-01-18,3,2021-01-15,3
ACTROS-Educational-Project/actros_essentials,https://github.com/ACTROS-Educational-Project/actros_essentials,2020-07-06,2020-11-18,135,2020-07-06,135
airuchen/omni_ros2,https://github.com/airuchen/omni_ros2,2019-10-05,2019-10-11,6,2019-10-05,6
blakermchale/robot_behavior_tree,https://github.com/blakermchale/robot_behavior_tree,2021-06-24,2021-07-15,21,2021-06-24,21
pal-robotics/gpd_utils,https://github.com/pal-robotics/gpd_utils,2019-01-09,2019-09-30,264,2021-06-18,-627
SCOPE-ROBMOSYS/IROS2021-experiments,https://github.com/SCOPE-ROBMOSYS/IROS2021-experiments,2021-03-05,2021-07-07,124,2021-03-05,124
berkeleyauv/behavior_tree,https://github.com/berkeleyauv/behavior_tree,2021-01-10,2021-04-26,106,2021-01-10,106
ganatrask/nav2_course,https://github.com/ganatrask/nav2_course,2020-08-11,2020-08-23,12,2020-08-11,12
automaticaddison/two_wheeled_robot,https://github.com/automaticaddison/two_wheeled_robot,2021-11-30,2022-01-20,51,2021-11-30,51
Fricodelco/rcam_ros2,https://github.com/Fricodelco/rcam_ros2,2021-03-30,2021-07-18,110,2021-03-30,110
MiRON-project/nav1_behavior_tree,https://github.com/MiRON-project/nav1_behavior_tree,2021-02-05,2021-02-05,0,2021-02-05,0
jjreese/jetbot_cpp,https://github.com/jjreese/jetbot_cpp,2020-10-15,2020-10-21,6,2020-10-15,6
hsp-iit/behavior-stack-example,https://github.com/hsp-iit/behavior-stack-example,2020-11-06,2020-11-26,20,2020-11-06,20
jginesclavero/social_nav2,https://github.com/jginesclavero/social_nav2,2020-03-24,2021-03-08,349,2020-03-24,349
dortmans/bt_tools,https://github.com/dortmans/bt_tools,2021-01-26,2021-03-15,48,2021-01-26,48
qsheeeeen/qdu-rm-ai,https://github.com/qsheeeeen/qdu-rm-ai,2020-04-03,2021-11-13,589,2020-04-03,589
IntelligentRoboticsLabs/plansys2_cooking_experiment,https://github.com/IntelligentRoboticsLabs/plansys2_cooking_experiment,2021-03-04,2021-07-03,121,2021-03-04,121
gentlebots/clean_up,https://github.com/gentlebots/clean_up,2021-03-03,2021-06-16,105,2021-03-03,105
yashpatel1392/behavior_tree_tutorial,https://github.com/yashpatel1392/behavior_tree_tutorial,2020-07-02,2020-07-02,0,2020-07-02,0
schornakj/intelligent_process_behaviortree,https://github.com/schornakj/intelligent_process_behaviortree,2020-06-15,2020-06-15,0,2020-06-15,0
skylerpan/nav2_steps,https://github.com/skylerpan/nav2_steps,2019-12-05,2019-12-05,0,2019-12-05,0
mlsdpk/cmpf,https://github.com/mlsdpk/cmpf,2021-12-23,2022-01-14,22,2021-12-23,22
DynoRobotics/UnityRos2,https://github.com/DynoRobotics/UnityRos2,2019-01-13,2020-05-27,500,2019-01-15,498
ipleiria-robotics/iModBot,https://github.com/ipleiria-robotics/iModBot,2020-06-08,2021-08-02,420,2020-06-08,420
