name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
ksm0709/Configs,https://github.com/ksm0709/Configs,2017-08-04,2021-05-31,1396,2017-08-04,1396
osu-uwrt/riptide_states,https://github.com/osu-uwrt/riptide_states,2020-02-23,2020-03-01,7,2020-02-23,7
RicoAvans/assignment_fase2,https://github.com/RicoAvans/assignment_fase2,2021-05-28,2021-06-07,10,2021-05-28,10
AlexanderVieira/demo_talker_listener_float64,https://github.com/AlexanderVieira/demo_talker_listener_float64,2020-12-06,2020-12-11,5,2020-12-06,5
Jeffry-dekkers/grijper2,https://github.com/Jeffry-dekkers/grijper2,2021-05-28,2021-05-28,0,2021-05-28,0
Jeffry-dekkers/unit-2,https://github.com/Jeffry-dekkers/unit-2,2021-05-28,2021-05-28,0,2021-05-28,0
GerardHarkemaAvans/FlexbeMultipleUnit,https://github.com/GerardHarkemaAvans/FlexbeMultipleUnit,2021-04-21,2021-04-21,0,2021-04-21,0
GerardHarkemaAvans/open_manipulator_examples,https://github.com/GerardHarkemaAvans/open_manipulator_examples,2021-12-03,2021-12-03,0,2021-12-03,0
UofA-SPEAR/software,https://github.com/UofA-SPEAR/software,2018-08-16,2021-10-17,1158,2019-02-27,963
wxchencn/flexBE,https://github.com/wxchencn/flexBE,2021-04-16,2021-04-16,0,2021-04-16,0
GerardHarkemaAvans/my_universal_robot,https://github.com/GerardHarkemaAvans/my_universal_robot,2021-12-01,2022-01-17,47,2021-12-01,47
Dennis-BIRL-GDUT/hello_flexbe_behaviors,https://github.com/Dennis-BIRL-GDUT/hello_flexbe_behaviors,2017-07-23,2017-07-23,0,2017-07-23,0
yubaoliu/Flexbe-Tutorial,https://github.com/yubaoliu/Flexbe-Tutorial,2021-03-11,2021-03-12,1,2021-03-12,0
furret112/wrs_2021_new,https://github.com/furret112/wrs_2021_new,2021-06-30,2021-09-01,63,2021-06-30,63
locnx1984/solomon_flexbe_states,https://github.com/locnx1984/solomon_flexbe_states,2020-10-16,2020-10-16,0,2020-10-16,0
ChendiDotLin/FlexBE-Trial,https://github.com/ChendiDotLin/FlexBE-Trial,2019-01-21,2019-02-06,16,2019-01-21,16
sonia-auv/sonia-behaviors,https://github.com/sonia-auv/sonia-behaviors,2021-10-30,2021-10-31,1,2021-10-30,1
ProfJust/emr,https://github.com/ProfJust/emr,2019-04-04,2021-08-31,880,2019-04-04,880
rigbetellabs/tortoisebot_waiter,https://github.com/rigbetellabs/tortoisebot_waiter,2021-05-20,2021-06-08,19,2021-05-11,28
sonia-auv/auv8_mission_controller_behaviors,https://github.com/sonia-auv/auv8_mission_controller_behaviors,2020-01-30,2020-02-13,14,2020-01-30,14
menno409/unit2,https://github.com/menno409/unit2,2021-06-01,2021-06-01,0,2021-06-01,0
OSUrobotics/automated_testbed_core,https://github.com/OSUrobotics/automated_testbed_core,2021-05-07,2021-05-07,0,2020-03-20,413
tku-iarc/hand-eye-calibration,https://github.com/tku-iarc/hand-eye-calibration,2021-11-14,2021-11-16,2,2021-11-16,0
SamKaiYang/FlexBE_Behavior,https://github.com/SamKaiYang/FlexBE_Behavior,2021-09-26,2021-09-26,0,2021-09-26,0
andy-Chien/hand_eye_calibration,https://github.com/andy-Chien/hand_eye_calibration,2021-11-14,2021-11-16,2,2021-11-14,2
Keeganfn/infrastructure-packages,https://github.com/Keeganfn/infrastructure-packages,2020-10-10,2020-10-26,16,2020-10-10,16
Keeganfn/infrastructure-flexbe,https://github.com/Keeganfn/infrastructure-flexbe,2020-09-19,2020-10-10,21,2020-09-19,21
veerkalburgi/Mobile_manuplator_Project,https://github.com/veerkalburgi/Mobile_manuplator_Project,2021-09-15,2021-09-15,0,2021-09-15,0
xabigarde/dortoka_behaviors,https://github.com/xabigarde/dortoka_behaviors,2021-06-11,2021-06-18,7,2021-06-14,4
andy-Chien/dcma_flexbe,https://github.com/andy-Chien/dcma_flexbe,2021-06-24,2021-11-14,143,2021-07-12,125
CNURobotics/chris_create_flexible_navigation,https://github.com/CNURobotics/chris_create_flexible_navigation,2016-09-23,2019-06-14,994,2016-09-09,1008
osu-uwrt/riptide_autonomy,https://github.com/osu-uwrt/riptide_autonomy,2019-09-13,2020-04-02,202,2019-09-13,202
