name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
braineniac/robotics-player,https://github.com/braineniac/robotics-player,2016-03-10,2018-06-29,841,2018-08-01,-33
ipleiria-robotics/adv_robotics,https://github.com/ipleiria-robotics/adv_robotics,2013-02-01,2021-07-05,3076,2021-05-25,41
uos/mbf_tutorials,https://github.com/uos/mbf_tutorials,2018-11-23,2021-04-08,867,2021-03-03,36
ottocol/ejemplos_py_trees,https://github.com/ottocol/ejemplos_py_trees,2018-11-11,2018-11-11,0,2018-11-11,0
eduardoespino2002/bitbucket2,https://github.com/eduardoespino2002/bitbucket2,2021-06-23,2021-06-23,0,2021-06-23,0
tejalbarnwal/behaviourtree_tutorial,https://github.com/tejalbarnwal/behaviourtree_tutorial,2021-12-10,2021-12-22,12,2021-12-10,12
peterheim1/gizmo,https://github.com/peterheim1/gizmo,2018-06-06,2019-02-22,261,2018-06-06,261
naveedhd/nav2_trees,https://github.com/naveedhd/nav2_trees,2019-10-28,2019-10-30,2,2019-10-28,2
jjreese/jetbot_btrees,https://github.com/jjreese/jetbot_btrees,2020-10-22,2020-11-09,18,2020-10-22,18
robotique-ecam/cdfr,https://github.com/robotique-ecam/cdfr,2019-09-14,2022-01-15,854,2019-09-14,854
zhanghongyi1996/Real-time-inventory-querying-simulation-and-result,https://github.com/zhanghongyi1996/Real-time-inventory-querying-simulation-and-result,2021-06-30,2021-09-11,73,2021-06-30,73
cas4x/zipsa,https://github.com/cas4x/zipsa,2019-08-16,2019-09-18,33,2019-07-29,51
oorrppp2/6D_pose_estimation_zipsa_robot_simulation,https://github.com/oorrppp2/6D_pose_estimation_zipsa_robot_simulation,2021-03-25,2021-03-25,0,2021-03-25,0
ZinnerC/sa_rex,https://github.com/ZinnerC/sa_rex,2020-03-11,2020-03-11,0,2020-03-11,0
dortmans/behaviortree_demo,https://github.com/dortmans/behaviortree_demo,2021-04-14,2021-04-14,0,2021-04-14,0
oorrppp2/zipsa_robot,https://github.com/oorrppp2/zipsa_robot,2018-12-16,2021-10-05,1024,2020-05-19,504
sea-bass/turtlebot3_behavior_demos,https://github.com/sea-bass/turtlebot3_behavior_demos,2021-04-16,2021-06-25,70,2021-04-16,70
oorrppp2/zipsa_robot_simulation,https://github.com/oorrppp2/zipsa_robot_simulation,2018-12-16,2021-09-14,1003,2020-05-20,482
pirobot/pi-kobuki-git,https://github.com/pirobot/pi-kobuki-git,2018-03-17,2018-03-20,3,2018-03-20,0
samiamlabs/dyno,https://github.com/samiamlabs/dyno,2018-06-10,2018-10-11,123,2018-06-10,123
fnivek/bt-espresso,https://github.com/fnivek/bt-espresso,2018-06-13,2021-06-29,1112,2021-06-29,0
ethz-asl/moma,https://github.com/ethz-asl/moma,2019-08-15,2021-12-16,854,2019-10-21,787
hwixley/SDP-DrPhil,https://github.com/hwixley/SDP-DrPhil,2021-01-25,2021-03-10,44,2021-01-25,44
ll7/psaf2,https://github.com/ll7/psaf2,2020-11-11,2021-03-31,140,2020-11-11,140
KKalem/sam_march,https://github.com/KKalem/sam_march,2019-03-06,2019-03-08,2,2019-03-06,2
Garyxud/melodic-all,https://github.com/Garyxud/melodic-all,2020-09-14,2020-09-14,0,2020-09-14,0
RazanGhzouli/Behavior-Trees-in-Action,https://github.com/RazanGhzouli/Behavior-Trees-in-Action,2020-09-16,2021-05-13,239,2020-09-16,239
rirolab/behavior_tree,https://github.com/rirolab/behavior_tree,2020-08-12,2021-10-19,433,2020-08-12,433
refills-project/refills_second_review,https://github.com/refills-project/refills_second_review,2018-11-05,2021-12-07,1128,2018-11-05,1128
ignaciotb/robi_final_project,https://github.com/ignaciotb/robi_final_project,2019-08-02,2021-08-09,738,2019-09-22,687
Doreapp/IROB-Assignment-5,https://github.com/Doreapp/IROB-Assignment-5,2021-10-01,2021-10-06,5,2021-10-01,5
yagehao/DD2410-Robotics,https://github.com/yagehao/DD2410-Robotics,2021-09-10,2021-10-11,31,2021-09-10,31
alexandrosnic/DD2410_Introduction-to-Robotics,https://github.com/alexandrosnic/DD2410_Introduction-to-Robotics,2020-03-22,2020-03-23,1,2020-03-22,1
plhsu19/DD2410-Introduction-to-Robotics,https://github.com/plhsu19/DD2410-Introduction-to-Robotics,2020-01-17,2020-04-22,96,2020-01-17,96
SebsBarbas/Project-Course-in-Robotics-and-Autonomous-Systems,https://github.com/SebsBarbas/Project-Course-in-Robotics-and-Autonomous-Systems,2020-06-23,2020-06-23,0,2020-06-23,0
Badi96/DD2410-Introduction-to-Robotics,https://github.com/Badi96/DD2410-Introduction-to-Robotics,2021-06-25,2021-06-25,0,2021-06-25,0
gabriel-delira/door_path_plan,https://github.com/gabriel-delira/door_path_plan,2021-03-04,2021-03-04,0,2021-03-04,0
SemRoCo/giskardpy,https://github.com/SemRoCo/giskardpy,2017-10-11,2022-01-20,1562,2017-10-11,1562
callmeGoldenboy/DD2410-Introduction-to-robotics,https://github.com/callmeGoldenboy/DD2410-Introduction-to-robotics,2020-12-28,2020-12-28,0,2020-12-28,0
fnivek/srp_md,https://github.com/fnivek/srp_md,2019-06-26,2020-09-21,453,2020-07-21,62
basemprince/irobproject,https://github.com/basemprince/irobproject,2020-10-02,2020-12-29,88,2020-10-02,88
SebsBarbas/iRob_KTH,https://github.com/SebsBarbas/iRob_KTH,2020-12-04,2020-12-04,0,2020-12-04,0
simutisernestas/mobile_robot_project,https://github.com/simutisernestas/mobile_robot_project,2019-09-27,2020-05-25,241,2019-09-27,241
wanghaichuan941221/python,https://github.com/wanghaichuan941221/python,2017-12-01,2020-04-17,868,2017-12-01,868
qcr/ros_trees,https://github.com/qcr/ros_trees,2019-08-05,2021-10-20,807,2020-05-03,535
benedictmulongo/robotics_stuffs,https://github.com/benedictmulongo/robotics_stuffs,2019-10-10,2019-10-11,1,2019-10-10,1
smarc-project/smarc_missions,https://github.com/smarc-project/smarc_missions,2014-09-07,2021-11-23,2634,2019-03-13,986
matthewngit/IntroRobotProject,https://github.com/matthewngit/IntroRobotProject,2020-09-26,2020-10-09,13,2020-09-26,13
klost17/Robotics,https://github.com/klost17/Robotics,2020-09-04,2020-09-04,0,2020-09-04,0
TimotheosS/Introduction-To-Robotics,https://github.com/TimotheosS/Introduction-To-Robotics,2021-09-13,2021-10-04,21,2021-09-13,21
Taospirit/roborts_project,https://github.com/Taospirit/roborts_project,2019-06-21,2019-11-26,158,2019-06-21,158
