name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
1874522282/catkin_multi_ws,https://github.com/1874522282/catkin_multi_ws,2018-08-09,2018-08-09,0,2018-08-09,0
4rfel/Robotica2k19.2,https://github.com/4rfel/Robotica2k19.2,2019-09-19,2020-02-27,161,2019-09-19,161
abcamiletto/omnidirectional-2realsense-SLAM,https://github.com/abcamiletto/omnidirectional-2realsense-SLAM,2020-09-13,2021-01-19,128,2020-07-31,172
abhat91/ros_osx,https://github.com/abhat91/ros_osx,2016-03-13,2016-03-13,0,2016-03-13,0
abishekh/ua-ros-pkg,https://github.com/abishekh/ua-ros-pkg,2009-12-04,2013-01-24,1147,2016-03-20,-1151
abr-ijs/baxter_smacha,https://github.com/abr-ijs/baxter_smacha,2017-07-14,2017-11-07,116,2017-08-02,97
abubeck/ipa_seminar,https://github.com/abubeck/ipa_seminar,2013-09-06,2014-10-24,413,2013-09-19,400
abubeck/logistic_scenario,https://github.com/abubeck/logistic_scenario,2013-08-30,2014-06-12,286,2013-08-30,286
AdriiTrujillo/tiago_public_ws,https://github.com/AdriiTrujillo/tiago_public_ws,2021-04-01,2021-04-01,0,2021-04-01,0
AdriiTrujillo/turtle_guard,https://github.com/AdriiTrujillo/turtle_guard,2020-11-25,2021-01-14,50,2020-11-25,50
ADVRHumanoids/centauro_tools,https://github.com/ADVRHumanoids/centauro_tools,2017-10-19,2018-07-02,256,2017-10-19,256
aerostack-lab/smach_mission_gazebo,https://github.com/aerostack-lab/smach_mission_gazebo,2021-05-10,2021-07-28,79,2021-12-20,-145
aerostack-lab/smach_rooms_exploration_gazebo,https://github.com/aerostack-lab/smach_rooms_exploration_gazebo,2021-05-10,2021-07-28,79,2021-12-20,-145
agent-system/lecture2021,https://github.com/agent-system/lecture2021,2021-04-14,2021-11-30,230,2021-04-14,230
agimus/agimus,https://github.com/agimus/agimus,2018-07-06,2021-03-16,984,2018-07-06,984
aGotelli/Andrea_Gotelli_EROLA_Assignment,https://github.com/aGotelli/Andrea_Gotelli_EROLA_Assignment,2020-11-20,2020-12-18,28,2020-11-20,28
aGotelli/EROLA_first_assignment_AG,https://github.com/aGotelli/EROLA_first_assignment_AG,2020-10-19,2020-11-02,14,2020-10-19,14
ahadrauf/aa274a_final_project,https://github.com/ahadrauf/aa274a_final_project,2020-11-02,2020-11-20,18,2020-11-02,18
Aharobot/yale-ros-pkg,https://github.com/Aharobot/yale-ros-pkg,2012-02-21,2013-08-30,556,2015-05-08,-616
ajayapra/turbo-computing-machine,https://github.com/ajayapra/turbo-computing-machine,2017-03-26,2017-04-27,32,2017-03-26,32
akane0303/nhk2020,https://github.com/akane0303/nhk2020,2019-11-15,2020-11-30,381,2019-11-15,381
